category,indonesia,indonesia_audio,arabic,arabic_audio,english,english_audio
KATA SAPAAN,Selamat pagi,selamat_pagi_id.mp3,صَبَاحُ الخَيْرِ,selamat_pagi_ar.mp3,Good morning,selamat_pagi_ing.mp3
KATA SAPAAN,Selamat pagi juga,selamat_pagi_juga_id.mp3,صَبَاحُ النُّوْر,selamat_pagi_juga_ar.mp3,Good morning,selamat_pagi_juga_ing.mp3
KATA SAPAAN,Selamat siang,selamat_siang_id.mp3,نَهَارُكَ سَعِيْد,selamat_siang_ar.mp3,Good afternoon,selamat_siang_ing.mp3
KATA SAPAAN,Selamat siang (kembali),selamat_siang_kembali_id.mp3,سَعِيْدٌ مُبَارَك,selamat_siang_kembali_ar.mp3,Good afternoon,selamat_siang_kembali_ing.mp3
KATA SAPAAN,Selamat sore,selamat_sore_id.mp3,مَسَاءُ الخَيْر,selamat_sore_ar.mp3,Good afternoon,selamat_sore_ing.mp3
KATA SAPAAN,Selamat sore (kembali),selamat_sore_kembali_id.mp3,مَسَاءُ النُّوْر,selamat_sore_kembali_ar.mp3,Good afternoon,selamat_sore_kembali_ing.mp3
KATA SAPAAN,Selamat malam,selamat_malam_id.mp3,لَيْلَةٌ سَعِيْدَة,selamat_malam_ar.mp3,Good evening,selamat_malam_ing.mp3
KATA SAPAAN,Selamat malam (juga),selamat_malam_juga_id.mp3,سَعِيْدَةٌ مُبَارَكَة,selamat_malam_juga_ar.mp3,Good evening,selamat_malam_juga_ing.mp3
KATA SAPAAN,Selamat datang,selamat_datang_id.mp3,أَهْلًا وَسَهْلًا,selamat_datang_ar.mp3,Welcome,selamat_datang_ing.mp3
KATA SAPAAN,Selamat jalan,selamat_jalan_id.mp3,مَعَ السَّلَامَة,selamat_jalan_ar.mp3,Have a nice trip,selamat_jalan_ing.mp3
KATA SAPAAN,Sampai jumpa,sampai_jumpa_id.mp3,إِلَى اللِّقَاء,sampai_jumpa_ar.mp3,See you,sampai_jumpa_ing.mp3
KATA SAPAAN,Apa kabar?,apa_kabar_id.mp3,كَيْفَ حَالُكَ؟,apa_kabar_ar.mp3,How are you?,apa_kabar_ing.mp3,Apa kabar?,apa_kabar_id.mp3,كَيْفَ حَالُكَ؟,apa_kabar_ar.mp3,How are you?,apa_kabar_ing.mp3
KATA SAPAAN,Alhamdulillah baik,alhamdulilah_baik_id.mp3,الحَمْدُ لِلَّهِ بِخَيْرٍ,alhamdulilah_baik_ar.mp3,Alhamdulillah fine,alhamdulilah_baik_ing.mp3
KATA SAPAAN,Senang bertemu denganmu,senang_bertemu_denganmu_id.mp3,أَنَا سَعِيْدٌ بِلِقَائِكَ,senang_bertemu_denganmu_ar.mp3,Nice to meet you,senang_bertemu_denganmu_ing.mp3
KATA SAPAAN,Permisi,permisi_id.mp3,مِنْ فَضْلِك,permisi_ar.mp3,Excuse me,permisi_ing.mp3
KATA SAPAAN,Terima kasih banyak,terima_kasih_banyak_id.mp3,شُكْرًا جَزِيلاً,terima_kasih_banyak_ar.mp3,Thank you so much,terima_kasih_banyak_ing.mp3
KATA SAPAAN,Sama-sama,sama_sama_id.mp3,عَفْوًا,sama_sama_ar.mp3,You're welcome,sama_sama_ing.mp3
KATA SAPAAN,Semoga cepat sembuh,semoga_cepat_sembuh_id.mp3,شَفَاكَ اللَّهُ,semoga_cepat_sembuh_ar.mp3,Have a speedy recovery,semoga_cepat_sembuh_ing.mp3
KATA SAPAAN,Semoga lulus,semoga_lulus_id.mp3,مَعَ النَّجَاحِ,semoga_lulus_ar.mp3,Hope you graduate,semoga_lulus_ing.mp3
HARI,Hari Minggu,Hari_Minggu_id.mp3,يَوْمُ الأَحَد,Hari_Minggu_ar.mp3,Sunday,Hari_Minggu_eng.mp3
HARI,Hari Senin,Hari_Senin_id.mp3,يَوْمُ الإِثْنَيْن,Hari_Senin_ar.mp3,Monday,Hari_Senin_eng.mp3
HARI,Hari Selasa,Hari_Selasa_id.mp3,يَوْمُ الثُّلاَثَاء,Hari_Selasa_ar.mp3,Tuesday,Hari_Selasa_eng.mp3
HARI,Hari Rabu,Hari_Rabu_id.mp3,يَوْمُ الأَرْبِعَاء,Hari_Rabu_ar.mp3,Wednesday,Hari_Rabu_eng.mp3
HARI,Hari Kamis,Hari_Kamis_id.mp3,يَوْمُ الخَمِيْس,Hari_Kamis_ar.mp3,Thursday,Hari_Kamis_eng.mp3
HARI,Hari Jum'at,Hari_Jumat_id.mp3,يَوْمُ الجُمُعَة,Hari_Jumat_ar.mp3,Friday,Hari_Jumat_eng.mp3
HARI,Hari Sabtu,Hari_Sabtu_id.mp3,يَوْمُ السَّبْت,Hari_Sabtu_ar.mp3,Saturday,Hari_Sabtu_eng.mp3
HARI,Hari Libur,Hari_Libur_id.mp3,يَوْمُ العُطْلَة,Hari_Libur_ar.mp3,Weekend,Hari_Libur_eng.mp3
HARI,Hari Kerja,Hari_Kerja_id.mp3,يَوْمُ العَمَل,Hari_Kerja_ar.mp3,Workday,Hari_Kerja_eng.mp3
HARI,Hari Raya,Hari_Raya_id.mp3,يَوْمُ العِيْد,Hari_Raya_ar.mp3,Holiday,Hari_Raya_eng.mp3
HARI,Hari Lahir,Hari_Lahir_id.mp3,يَوْمُ المِيْلاَد,Hari_Lahir_ar.mp3,Birthday,Hari_Lahir_eng.mp3
HARI,Hari Wafat,Hari_wafat_id.mp3,يَوْمُ الوَفَاة,Hari_Wafat_ar.mp3,Day of death,Hari_Wafat_eng.mp3
HARI,Hari Ini,Hari_Ini_id.mp3,اليَوْم,Hari_Ini_ar.mp3,Today,Hari_Ini_eng.mp3
HARI,Kemarin,Kemarin_id.mp3,أَمْس,Kemarin_ar.mp3,Yesterday,Kemarin_eng.mp3
HARI,Besok,Besok_id.mp3,غَداً,Besok_ar.mp3,Tomorrow,Besok_eng.mp3
HARI,Esok Lusa,Esok_Lusa_id.mp3,بَعْدَ يَوْمَيْن,Esok_Lusa_ar.mp3,The day after tomorrow,Esok_Lusa_eng.mp3
HARI,Kemarin Lusa,Kemarin_Lusa_id.mp3,قَبْلَ يَوْمَيْن,Kemarin_Lusa_ar.mp3,The day before yesterday,Kemarin_Lusa_eng.mp3
HARI,Pekan,Pekan_id.mp3,أُسْبُوْعٌ,Pekan_ar.mp3,Week,Pekan_eng.mp3
HARI,Pada Suatu Hari,Pada_Suatu_Hari_id.mp3,فِي يَوْم مِنَ الأَيَّام,Pada_Suatu_Hari_ar.mp3,Once upon a time,Pada_Suatu_Hari_eng.mp3
HARI,Hari Demi Hari,Hari_Demi_Hari_id.mp3,يَوْمًا فَيَوْمًا,Hari_Demi_Hari_ar.mp3,Day by day,Hari_Demi_Hari_eng.mp3
HARI,Pada Hari Itu,Pada_Hari_Itu_id.mp3,فَيَوْمَئِذ,Pada_Hari_Itu_ar.mp3,On that day,Pada_Hari_Itu_eng.mp3
BULAN HIJRIAH,Bulan,bulan_id.mp3,الشَّهْرُ,bulan_ar.mp3,Month,bulan_eng.mp3
BULAN HIJRIAH,Muharram,muharram_id.mp3,ٱلْمُحَرَّمُ,muharram_ar.mp3,Muharram,muharram_eng.mp3
BULAN HIJRIAH,Safar,saffar_id.mp3,صَفَرٌ,saffar_ar.mp3,Safar,saffar_eng.mp3
BULAN HIJRIAH,Rabiul Awal,rabiul_awal_id.mp3,رَبِيعُ ٱلْأَوَّلِ,rabiul_awal_ar.mp3,Rabiul Awal,rabiul_awal_eng.mp3
BULAN HIJRIAH,Rabiul Tsani,rabiul_tsani_id.mp3,رَبِيعُ ٱلثَّانِي,rabiul_tsani_ar.mp3,Rabiul Tsani,rabiul_tsani_eng.mp3
BULAN HIJRIAH,Jumadil Awal,jumadil_awal_id.mp3,جُمَادَى ٱلْأُولَى,jumadil_awal_ar.mp3,Jumadil Awal,jumadil_awal_eng.mp3
BULAN HIJRIAH,Jumadil Tsani,jumadil_tsani_id.mp3,جُمَادَى ٱلثَّانِيَة,jumadil_tsani_ar.mp3,Jumadil Tsani,jumadil_tsani_eng.mp3
BULAN HIJRIAH,Rajab,rajab_id.mp3,رَجَبٌ,rajab_ar.mp3,Rajab,rajab_eng.mp3
BULAN HIJRIAH,Sya'ban,syaban_id.mp3,شَعْبَانُ,syaban_ar.mp3,Sya'ban,syaban_eng.mp3
BULAN HIJRIAH,Ramadhan,ramadhan_id.mp3,رَمَضَانُ,ramadhan_ar.mp3,Ramadhan,ramadhan_eng.mp3
BULAN HIJRIAH,Syawal,syawal_id.mp3,شَوَّالٌ,syawal_ar.mp3,Syawal,syawal_eng.mp3
BULAN HIJRIAH,Dzulqo'dah,dzulqodah_id.mp3,ذُو ٱلْقَعْدَةِ,dzulqodah_ar.mp3,Dhu al-Qi'dah,dzulqodah_eng.mp3
BULAN HIJRIAH,Dzulhijjah,dzulhijjah_id.mp3,ذُو ٱلْحِجَّةِ,dzulhijjah_ar.mp3,Dhu al-Hijjah,dzulhijjah_eng.mp3
NAMA BULAN MASEHI,Januari,januari_id.mp3,يَنَايِر,januari_ar.mp3,January,januari_eng.mp3
NAMA BULAN MASEHI,Februari,februari_id.mp3,فِبْرَايِر,februari_ar.mp3,February,februari_eng.mp3
NAMA BULAN MASEHI,Maret,maret_id.mp3,مَارِس,maret_ar.mp3,March,maret_eng.mp3
NAMA BULAN MASEHI,April,april_id.mp3,أَبْرِيل,april_ar.mp3,April,april_eng.mp3
NAMA BULAN MASEHI,Mei,mei_id.mp3,مَايُو,mei_ar.mp3,May,mei_eng.mp3
NAMA BULAN MASEHI,Juni,juni_id.mp3,يُونِيُو,juni_ar.mp3,June,juni_eng.mp3
NAMA BULAN MASEHI,Juli,juli_id.mp3,يُولِيُو,juli_ar.mp3,July,juli_eng.mp3
NAMA BULAN MASEHI,Agustus,agustus_id.mp3,أَغُسْطُس,agustus_ar.mp3,August,agustus_eng.mp3
NAMA BULAN MASEHI,September,september_id.mp3,سِبْتَمْبَر,september_ar.mp3,September,september_eng.mp3
